FlorentineDrawings_IdentifierBB1961,BB_1961_number_letter,,,,BB_1938_number_letter,BB_1938_FirstPageNumber,BB_1938_LastPageNumber,BB_1903_number_letter,BB_1903_number_sortable,BB_1903_FirstPageNumber,BB_1903_LastPageNumber,1903_IIIF_URL,1903_200px_image,1903_500px_image
0000033-Berenson,33,,,,33,3,,33,33,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
0000034-Berenson,34,,,,34,3,,34,34,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
0000035-Berenson,35,,,,35,3,,35,35,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
0000036-Berenson,36,,,,36,3,,36,36,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
0000037-Berenson,37,,,,37,3,,37,37,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
001341A-Berenson,1341 A,,,,1341 A,,,38,38,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
0000039-Berenson,39,,,,39,4,,39,39,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
0000849-Berenson,849,,,,849,,,40,40,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
0000041-Berenson,41,,,,41,4,,41,41,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
0000862-Berenson,862,,,,862,,,42,42,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
000570B-Berenson,570,B,,,570 B,59,,43,43,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
001271B-Berenson,1271 B,,,,1271 B,,,44,44,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
001303A-Berenson,1303 A,,,,1303 A,,,45,45,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
000576A-Berenson,576,A,,,576 A,60,,46,46,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
001313A-Berenson,1313 A,,,,1313 A,,,47,47,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
001313B-Berenson,1313 B,,,,1313 B,,,48,48,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
001321A-Berenson,1321 A,,,,1321 A,,,49,49,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
000567A-Berenson,567,A,,,567 A,58,,50,50,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
001341B-Berenson,1341 B,,,,1341 B,,,51,51,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
001359A-Berenson,1359 A,,,,1359 A,,,52,52,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000591A-Berenson,591 A,,113,,591 A,61,,53,53,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
001362A-Berenson,1362 A,,,,1362 A,,,54,54,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000141E-Berenson,141 E,,28,,141 E,14,,55,55,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
0000056-Berenson,56,,,,56,6,,56,56,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
000108A-Berenson,108,A,,,108 A,8,,57,57,4,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$17i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__017.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__017.jpg
