FlorentineDrawings_IdentifierBB1961,BB_1903_PlateNumber,plate_number_arabic,plate_arabic_w_leading_zeros,BB_1903_number_letter,Verso?,SEQUENCE NUMBER,,,,IIIF_1903plate_URL,Plate AWS 200px Thumbnail,Plate AWS 500px Thumbnail
0000715-Berenson,XXXI,31,031,715,,208,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$208i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_031.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_031.jpg
0000686-Berenson,XXXII,32,032,686,,218,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$218i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_032.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_032.jpg
0001385-Berenson,XXXIII,33,033,1385,,222,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$222i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_033.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_033.jpg
0001386-Berenson,XXXIV,34,034,1386,,228,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$228i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_034.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_034.jpg
0001387-Berenson,XXXV,35,035,1387,,232,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$232i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_035.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_035.jpg
0001841-Berenson,XXXVI,36,036,1841,,242,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$242i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_036.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_036.jpg
0001838-Berenson,XXXVII,37,037,1838,,246,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$246i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_037.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_037.jpg
001837M-Berenson,XXXVIII,38,038,1840,,252,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$252i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_038.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_038.jpg
0000670-Berenson,XXXIX,39,039,670,,256,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$256i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_039.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_039.jpg
0000567-Berenson,XL,40,040,567,,266,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$266i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_040.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_040.jpg
