0000017-Berenson1961,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto"
0000121-Berenson1961,"Sarto, Andrea del",121,121,"Sarto, Andrea del",121,"Sarto, Andrea del"
0000122-Berenson1961,"Sarto, Andrea del",122,122,"Sarto, Andrea del",122,"Sarto, Andrea del"
0000123-Berenson1961,"Sarto, Andrea del",123,123,"Sarto, Andrea del",123,"Sarto, Andrea del"
0000124-Berenson1961,"Sarto, Andrea del",124,124,"Sarto, Andrea del",124,"Sarto, Andrea del"
0000125-Berenson1961,"Sarto, Andrea del",125,125,"Sarto, Andrea del",125,"Sarto, Andrea del"
0000126-Berenson1961,"Sarto, Andrea del",126,126,"Sarto, Andrea del",126,"Sarto, Andrea del"
0000127-Berenson1961,"Sarto, Andrea del",127,127,"Sarto, Andrea del",127,"Sarto, Andrea del"
0000128-Berenson1961,"Sarto, Andrea del",128,128,"Sarto, Andrea del",128,"Sarto, Andrea del"
0000129-Berenson1961,"Sarto, Andrea del",129,129,"Sarto, Andrea del",129,"Sarto, Andrea del"
0000130-Berenson1961,"Sarto, Andrea del",130,130,"Sarto, Andrea del",130,"Sarto, Andrea del"
0000131-Berenson1961,"Sarto, Andrea del",131,131,"Sarto, Andrea del",131,"Sarto, Andrea del"
0000132-Berenson1961,"Sarto, Andrea del",132,132,"Sarto, Andrea del",132,"Sarto, Andrea del"
0000133-Berenson1961,"Sarto, Andrea del",133,133,"Sarto, Andrea del",133,"Sarto, Andrea del"
0000134-Berenson1961,"Sarto, Andrea del",134,134,"Sarto, Andrea del",134,"Sarto, Andrea del"
0000135-Berenson1961,"Sarto, Andrea del",135,135,"Sarto, Andrea del",135,"Sarto, Andrea del"
0000136-Berenson1961,"Sarto, Andrea del",136,136,"Sarto, Andrea del",136,"Sarto, Andrea del"
0000138-Berenson1961,"Sarto, Andrea del",138,138,"Sarto, Andrea del",138,"Sarto, Andrea del"
0000140-Berenson1961,"Sarto, Andrea del",140,140,"Sarto, Andrea del",140,"Sarto, Andrea del"
000141E-Berenson1961,"Sarto, Andrea del",141 E,141 E,"Sarto, Andrea del",55,"Sarto, Andrea del"
0000178-Berenson1961,"Angelico, Fra",178,178,"Angelico, Fra",178,"Angelico, Fra"
0000179-Berenson1961,"Angelico, Fra",179,179,"Angelico, Fra",179,"Angelico, Fra"
0000177-Berenson1961,"Angelico, Fra",177,177,"Angelico, Fra",177,"Angelico, Fra"
0000165-Berenson1961,"Angelico, Fra",165,165,"Angelico, Fra",165,"Angelico, Fra"
0000166-Berenson1961,"Angelico, Fra",166,166,"Angelico, Fra",166,"Angelico, Fra"
0000167-Berenson1961,"Angelico, Fra",167,167,"Angelico, Fra",167,"Angelico, Fra"
0000169-Berenson1961,"Angelico, Fra",169,169,"Angelico, Fra",169,"Angelico, Fra"
0000172-Berenson1961,"Angelico, Fra",172,172,"Angelico, Fra",172,"Angelico, Fra"
0000173-Berenson1961,"Angelico, Fra",173,173,"Angelico, Fra",173,"Angelico, Fra"
0000174-Berenson1961,"Angelico, Fra",174,174,"Angelico, Fra",174,"Angelico, Fra"
0000175-Berenson1961,"Angelico, Fra",175,175,"Angelico, Fra",175,"Angelico, Fra"
0000162-Berenson1961,"Angelico, Fra",162,162,"Angelico, Fra",162,"Angelico, Fra"
0000163-Berenson1961,"Angelico, Fra",163,163,"Angelico, Fra",163,"Angelico, Fra"
0000176-Berenson1961,"Angelico, Fra",176,176,"Angelico, Fra",176,"Angelico, Fra"
0000186-Berenson1961,Bachiacca,186,186,Bachiacca,186,Bachiacca
0000187-Berenson1961,Bachiacca,187,187,Bachiacca,187,Bachiacca
0000188-Berenson1961,Bachiacca,188,188,Bachiacca,188,Bachiacca
0000180-Berenson1961,Bachiacca,180,180,Bachiacca,180,Bachiacca
0000181-Berenson1961,Bachiacca,181,181,Bachiacca,181,Bachiacca
0000182-Berenson1961,Bachiacca,182,182,Bachiacca,182,Bachiacca
000183A-Berenson1961,Bachiacca,183 A,183 A,Bachiacca,183 A,Bachiacca
0000183-Berenson1961,Bachiacca,183,183,Bachiacca,183,Bachiacca
0000184-Berenson1961,Bachiacca,184,184,Bachiacca,184,Bachiacca
0000185-Berenson1961,Bachiacca,185,185,Bachiacca,185,Bachiacca
0000191-Berenson1961,"Baldovinetti, Alesso",191,191,"Baldovinetti, Alesso",191,"Baldovinetti, Alesso"
0000192-Berenson1961,"Baldovinetti, Alesso",192,192,"Baldovinetti, Alesso",192,"Baldovinetti, Alesso"
0000193-Berenson1961,"Baldovinetti, Alesso",193,193,"Baldovinetti, Alesso",193,"Baldovinetti, Alesso"
0000194-Berenson1961,"Baldovinetti, Alesso",194,194,"Baldovinetti, Alesso",194,"Baldovinetti, Alesso"
0000195-Berenson1961,"Baldovinetti, Alesso",195,195,"Baldovinetti, Alesso",195,"Baldovinetti, Alesso"
0000196-Berenson1961,"Baldovinetti, Alesso",196,196,"Baldovinetti, Alesso",196,"Baldovinetti, Alesso"
0000197-Berenson1961,"Baldovinetti, Alesso",197,197,"Baldovinetti, Alesso",197,"Baldovinetti, Alesso"
0000200-Berenson1961,"Baldovinetti, Alesso",200,200,"Baldovinetti, Alesso",200,"Baldovinetti, Alesso"
0000201-Berenson1961,"Baldovinetti, Alesso",201,201,"Baldovinetti, Alesso",201,"Baldovinetti, Alesso"
