0000017-Berenson1961,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto"
0002175-Berenson1961,Pontormo,2175,2175,Pontormo,2175,Pontormo
002175A-Berenson1961,Pontormo,2175 A,2175 A,Pontormo,2001,Pontormo
0002176-Berenson1961,Pontormo,2176,2176,Pontormo,2176,Pontormo
0002177-Berenson1961,Pontormo,2177,2177,Pontormo,2177,Pontormo
0002178-Berenson1961,Pontormo,2178,2178,Pontormo,2178,Pontormo
0002179-Berenson1961,Pontormo,2179,2179,Pontormo,2179,Pontormo
0002180-Berenson1961,Pontormo,2180,2180,Pontormo,2180,Pontormo
0002181-Berenson1961,Pontormo,2181,2181,Pontormo,2181,Pontormo
002181A-Berenson1961,Pontormo,2181 A,2181 A,Pontormo,2002,Pontormo
0002182-Berenson1961,Pontormo,2182,2182,Pontormo,2182,Pontormo
0002183-Berenson1961,Pontormo,2183,2183,Pontormo,2183,Pontormo
0002184-Berenson1961,Pontormo,2184,2184,Pontormo,2184,Pontormo
0002185-Berenson1961,Pontormo,2185,2185,Pontormo,2185,Pontormo
0002186-Berenson1961,Pontormo,2186,2186,Pontormo,2186,Pontormo
0002188-Berenson1961,Pontormo,2188,2188,Pontormo,2188,Pontormo
0002189-Berenson1961,Pontormo,2189,2189,Pontormo,2189,Pontormo
0002190-Berenson1961,Pontormo,2190,2190,Pontormo,2190,Pontormo
0002191-Berenson1961,Pontormo,2191,2191,Pontormo,2191,Pontormo
0002192-Berenson1961,Pontormo,2192,2192,Pontormo,2192,Pontormo
0002193-Berenson1961,Pontormo,2193,2193,Pontormo,2193,Pontormo
0002194-Berenson1961,Pontormo,2194,2194,Pontormo,2194,Pontormo
0002195-Berenson1961,Pontormo,2195,2195,Pontormo,2195,Pontormo
0002196-Berenson1961,Pontormo,2196,2196,Pontormo,2196,Pontormo
0002197-Berenson1961,Pontormo,2197,2197,Pontormo,2197,Pontormo
0002198-Berenson1961,Pontormo,2198,2198,Pontormo,2198,Pontormo
0002199-Berenson1961,Pontormo,2199,2199,Pontormo,2199,Pontormo
0002200-Berenson1961,Pontormo,2200,2200,Pontormo,2200,Pontormo
0002201-Berenson1961,Pontormo,2201,2201,Pontormo,2201,Pontormo
0002202-Berenson1961,Pontormo,2202,2202,Pontormo,2202,Pontormo
0002203-Berenson1961,Pontormo,2203,2203,Pontormo,2203,Pontormo
0002204-Berenson1961,Pontormo,2204,2204,Pontormo,2204,Pontormo
0002205-Berenson1961,Pontormo,2205,2205,Pontormo,2205,Pontormo
0002206-Berenson1961,Pontormo,2206,2206,Pontormo,2206,Pontormo
0002207-Berenson1961,Pontormo,2207,2207,Pontormo,2207,Pontormo
0002208-Berenson1961,Pontormo,2208,2208,Pontormo,2208,Pontormo
0002209-Berenson1961,Pontormo,2209,2209,Pontormo,2209,Pontormo
0002210-Berenson1961,Pontormo,2210,2210,Pontormo,2210,Pontormo
0002211-Berenson1961,Pontormo,2211,2211,Pontormo,2211,Pontormo
002211A-Berenson1961,Pontormo,2211 A,2211 A,Pontormo,2003,Pontormo
0002212-Berenson1961,Pontormo,2212,2212,Pontormo,2212,Pontormo
0002213-Berenson1961,Pontormo,2213,2213,Pontormo,2213,Pontormo
0002214-Berenson1961,Pontormo,2214,2214,Pontormo,2214,Pontormo
0002215-Berenson1961,Pontormo,2215,2215,Pontormo,2215,Pontormo
0002216-Berenson1961,Pontormo,2216,2216,Pontormo,2216,Pontormo
0002217-Berenson1961,Pontormo,2217,2217,Pontormo,2217,Pontormo
0002218-Berenson1961,Pontormo,2218,2218,Pontormo,2218,Pontormo
0002219-Berenson1961,Pontormo,2219,2219,Pontormo,2219,Pontormo
0002220-Berenson1961,Pontormo,2220,2220,Pontormo,2220,Pontormo
0002221-Berenson1961,Pontormo,2221,2221,Pontormo,2221,Pontormo
0002222-Berenson1961,Pontormo,2222,2222,Pontormo,2222,Pontormo
0002223-Berenson1961,Pontormo,2223,2223,Pontormo,2223,Pontormo
0002224-Berenson1961,Pontormo,2224,2224,Pontormo,2224,Pontormo
0002225-Berenson1961,Pontormo,2225,2225,Pontormo,2225,Pontormo
002225A-Berenson1961,Pontormo,2225 A,2225 A,Pontormo,2004,Pontormo
0002226-Berenson1961,Pontormo,2226,2226,Pontormo,2226,Pontormo
0002227-Berenson1961,Pontormo,2227,2227,Pontormo,2227,Pontormo
0002228-Berenson1961,Pontormo,2228,2228,Pontormo,2228,Pontormo
0002229-Berenson1961,Pontormo,2229,2229,Pontormo,2229,Pontormo
0002230-Berenson1961,Pontormo,2230,2230,Pontormo,2230,Pontormo
0002231-Berenson1961,Pontormo,2231,2231,Pontormo,2231,Pontormo
0002232-Berenson1961,Pontormo,2232,2232,Pontormo,2232,Pontormo
0002233-Berenson1961,Pontormo,2233,2233,Pontormo,2233,Pontormo
0002234-Berenson1961,Pontormo,2234,2234,Pontormo,2234,Pontormo
0002235-Berenson1961,Pontormo,2235,2235,Pontormo,2235,Pontormo
0002236-Berenson1961,Pontormo,2236,2236,Pontormo,2236,Pontormo
0002239-Berenson1961,Pontormo,2239,2239,Pontormo,2239,Pontormo
0002240-Berenson1961,Pontormo,2240,2240,Pontormo,2240,Pontormo
0002241-Berenson1961,Pontormo,2241,2241,Pontormo,2241,Pontormo
0002242-Berenson1961,Pontormo,2242,2242,Pontormo,2242,Pontormo
0002243-Berenson1961,Pontormo,2243,2243,Pontormo,2243,Pontormo
0002244-Berenson1961,Pontormo,2244,2244,Pontormo,2244,Pontormo
0002245-Berenson1961,Pontormo,2245,2245,Pontormo,2245,Pontormo
0002246-Berenson1961,Pontormo,2246,2246,Pontormo,2246,Pontormo
0002247-Berenson1961,Pontormo,2247,2247,Pontormo,2247,Pontormo
0002248-Berenson1961,Pontormo,2248,2248,Pontormo,2248,Pontormo
2248A.2-Berenson1961,Pontormo,2248 A.2,2248 A,Pontormo,1965,Pontormo
002248B-Berenson1961,Pontormo,2248 B,2248 B,Pontormo,1966,Pontormo
0002249-Berenson1961,Pontormo,2249,2249,Pontormo,2249,Pontormo
0002250-Berenson1961,Pontormo,2250,2250,Pontormo,2250,Pontormo
0002251-Berenson1961,Pontormo,2251,2251,Pontormo,2251,Pontormo
0002252-Berenson1961,Pontormo,2252,2252,Pontormo,2252,Pontormo
0002253-Berenson1961,Pontormo,2253,2253,Pontormo,2253,Pontormo
002253A-Berenson1961,Pontormo,2253 A,2253 A,Pontormo,2253 A,Pontormo
0002254-Berenson1961,Pontormo,2254,2254,Pontormo,2254,Pontormo
0002255-Berenson1961,Pontormo,2255,2255,Pontormo,2255,Pontormo
002256G-Berenson1961,Pontormo,2256 G,2256 G,Pontormo,2370,Pontormo
0002257-Berenson1961,Pontormo,2257,2257,Pontormo,2257,Pontormo
0002258-Berenson1961,Pontormo,2258,2258,Pontormo,2258,Pontormo
0002259-Berenson1961,Pontormo,2259,2259,Pontormo,2259,Pontormo
0002260-Berenson1961,Pontormo,2260,2260,Pontormo,2260,Pontormo
0002261-Berenson1961,Pontormo,2261,2261,Pontormo,2261,Pontormo
0002265-Berenson1961,Pontormo,2265,2265,Pontormo,2265,Pontormo
0002266-Berenson1961,Pontormo,2266,2266,Pontormo,2266,Pontormo
0002267-Berenson1961,Pontormo,2267,2267,Pontormo,2267,Pontormo
0002268-Berenson1961,Pontormo,2268,2268,Pontormo,2268,Pontormo
0002278-Berenson1961,Pontormo,2278,2278,Pontormo,2278,Pontormo
0002279-Berenson1961,Pontormo,2279,2279,Pontormo,2279,Pontormo
0002280-Berenson1961,Pontormo,2280,2280,Pontormo,2280,Pontormo
0002281-Berenson1961,Pontormo,2281,2281,Pontormo,2281,Pontormo
0002282-Berenson1961,Pontormo,2282,2282,Pontormo,2282,Pontormo
0002283-Berenson1961,Pontormo,2283,2283,Pontormo,2283,Pontormo
0002284-Berenson1961,Pontormo,2284,2284,Pontormo,2284,Pontormo
0002326-Berenson1961,Pontormo,2326,2326,Pontormo,2326,Pontormo
0002327-Berenson1961,Pontormo,2327,2327,Pontormo,2327,Pontormo
0002328-Berenson1961,Pontormo,2328,2328,Pontormo,2328,Pontormo
0002329-Berenson1961,Pontormo,2329,2329,Pontormo,2329,Pontormo
0002330-Berenson1961,Pontormo,2330,2330,Pontormo,2330,Pontormo
0002331-Berenson1961,Pontormo,2331,2331,Pontormo,2331,Pontormo
0002332-Berenson1961,Pontormo,2332,2332,Pontormo,2332,Pontormo
0002333-Berenson1961,Pontormo,2333,2333,Pontormo,2333,Pontormo
0002334-Berenson1961,Pontormo,2334,2334,Pontormo,2334,Pontormo
0002335-Berenson1961,Pontormo,2335,2335,Pontormo,2335,Pontormo
0002336-Berenson1961,Pontormo,2336,2336,Pontormo,2336,Pontormo
002336F-Berenson1961,Pontormo,2336 F,2336 F,Pontormo,2355,Pontormo
002336G-Berenson1961,Pontormo,2336 G,2336 G,Pontormo,2349,Pontormo
0002337-Berenson1961,Pontormo,2337,2337,Pontormo,2337,Pontormo
002337A-Berenson1961,Pontormo,2337 A,2337 A,Pontormo,2344,Pontormo
002337B-Berenson1961,Pontormo,2337 B,2337 B,Pontormo,2356,Pontormo
002337C-Berenson1961,Pontormo,2337 C,2337 C,Pontormo,2347,Pontormo
0002338-Berenson1961,Pontormo,2338,2338,Pontormo,2338,Pontormo
002338A-Berenson1961,Pontormo,2338 A,2338 A,Pontormo,2346,Pontormo
002338B-Berenson1961,Pontormo,2338 B,2338 B,Pontormo,2342,Pontormo
002338C-Berenson1961,Pontormo,2338 C,2338 C,Pontormo,2357,Pontormo
0002358-Berenson1961,Pontormo,2358,2358,Pontormo,2358,Pontormo
0002359-Berenson1961,Pontormo,2359,2359,Pontormo,2359,Pontormo
0002360-Berenson1961,Pontormo,2360,2360,Pontormo,2360,Pontormo
0002361-Berenson1961,Pontormo,2361,2361,Pontormo,2361,Pontormo
002361A-Berenson1961,Pontormo,2361 A,2361 A,Pontormo,2351,Pontormo
002361B-Berenson1961,Pontormo,2361 B,2361 B,Pontormo,2341,Pontormo
0002362-Berenson1961,Pontormo,2362,2362,Pontormo,2362,Pontormo
002362A-Berenson1961,Pontormo,2362 A,2362 A,Pontormo,2343,Pontormo
0002363-Berenson1961,Pontormo,2363,2363,Pontormo,2363,Pontormo
002363A-Berenson1961,Pontormo,2363 A,2363 A,Pontormo,2345,Pontormo
002363B-Berenson1961,Pontormo,2363 B,2363 B,Pontormo,2348,Pontormo
0002364-Berenson1961,Pontormo,2364,2364,Pontormo,2364,Pontormo
0002365-Berenson1961,Pontormo,2365,2365,Pontormo,2365,Pontormo
0002366-Berenson1961,Pontormo,2366,2366,Pontormo,2366,Pontormo
002366A-Berenson1961,Pontormo,2366 A,2366 A,Pontormo,2340,Pontormo
002366B-Berenson1961,Pontormo,2366 B,2366 B,Pontormo,2352,Pontormo
002366C-Berenson1961,Pontormo,2366 C,2366 C,Pontormo,2353,Pontormo
0002367-Berenson1961,Pontormo,2367,2367,Pontormo,2367,Pontormo
0002368-Berenson1961,Pontormo,2368,2368,Pontormo,2368,Pontormo
002368A-Berenson1961,Pontormo,2368 A,2368 A,Pontormo,2354,Pontormo
0002369-Berenson1961,Pontormo,2369,2369,Pontormo,2369,Pontormo
000570A-Berenson1961,"Botticelli, Sandro",570 A,570 A,"Botticelli, Sandro",584,"Botticelli, Sandro"
0000582-Berenson1961,"Botticelli, Sandro",582,582,"Botticelli, Sandro",582,"Botticelli, Sandro"
0000583-Berenson1961,"Botticelli, Sandro",583,583,"Botticelli, Sandro",583,"Botticelli, Sandro"
000570B-Berenson1961,"Botticelli, Sandro",570 B,570 B,"Botticelli, Sandro",43,Amico di Sandro
0000561-Berenson1961,"Botticelli, Sandro",561,561,"Botticelli, Sandro",561,"Botticelli, Sandro"
000570B-Berenson1961,"Botticelli, Sandro",570 B,570 B,"Botticelli, Sandro",43,Amico di Sandro
0000572-Berenson1961,"Botticelli, Sandro",572,572,"Botticelli, Sandro",572,"Botticelli, Sandro"
000576A-Berenson1961,"Botticelli, Sandro",576 A,576 A,"Botticelli, Sandro",46,Amico di Sandro
0000562-Berenson1961,"Botticelli, Sandro",562,562,"Botticelli, Sandro",562,"Botticelli, Sandro"
0000563-Berenson1961,"Botticelli, Sandro",563,563,"Botticelli, Sandro",563,"Botticelli, Sandro"
0000564-Berenson1961,"Botticelli, Sandro",564,564,"Botticelli, Sandro",564,"Botticelli, Sandro"
0000565-Berenson1961,"Botticelli, Sandro",565,565,"Botticelli, Sandro",565,"Botticelli, Sandro"
0000566-Berenson1961,"Botticelli, Sandro",566,566,"Botticelli, Sandro",566,"Botticelli, Sandro"
0000573-Berenson1961,"Botticelli, Sandro",573,573,"Botticelli, Sandro",573,"Botticelli, Sandro"
0000574-Berenson1961,"Botticelli, Sandro",574,574,"Botticelli, Sandro",574,"Botticelli, Sandro"
0000575-Berenson1961,"Botticelli, Sandro",575,575,"Botticelli, Sandro",575,"Botticelli, Sandro"
000576A-Berenson1961,"Botticelli, Sandro",576 A,576 A,"Botticelli, Sandro",46,Amico di Sandro
0000577-Berenson1961,"Botticelli, Sandro",577,577,"Botticelli, Sandro",577,"Botticelli, Sandro"
0000570-Berenson1961,"Botticelli, Sandro",570,570,"Botticelli, Sandro",570,"Botticelli, Sandro"
0000585-Berenson1961,"Botticelli, Sandro",585,585,"Botticelli, Sandro",585,"Botticelli, Sandro"
0000586-Berenson1961,"Botticelli, Sandro",586,586,"Botticelli, Sandro",586,"Botticelli, Sandro"
0000587-Berenson1961,"Botticelli, Sandro",587,587,"Botticelli, Sandro",587,"Botticelli, Sandro"
000567A-Berenson1961,"Botticelli, Sandro",567 A,567 A,"Botticelli, Sandro",50,Amico di Sandro
000561B-Berenson1961,"Botticelli, Sandro",561 B,561 B,"Botticelli, Sandro",580,"Botticelli, Sandro"
0000567-Berenson1961,"Botticelli, Sandro",567,567,"Botticelli, Sandro",567,"Botticelli, Sandro"
0000578-Berenson1961,"Botticelli, Sandro",578,578,"Botticelli, Sandro",578,"Botticelli, Sandro"
0000579-Berenson1961,"Botticelli, Sandro",579,579,"Botticelli, Sandro",579,"Botticelli, Sandro"
0000581-Berenson1961,"Botticelli, Sandro",581,581,"Botticelli, Sandro",581,"Botticelli, Sandro"
002370B-Berenson1961,Pontormo,2370 B ,2370 B ,Pontormo,2237,Pontormo
002370C-Berenson1961,Pontormo,2370 C,2370 C,Pontormo,2238,Pontormo
0000744-Berenson1961,Fra Diamante,744,744,Fra Diamante,744,Fra Diamante
000744A-Berenson1961,Fra Diamante,744 A,744 A,Fra Diamante,1388,Fra Filippo
0000745-Berenson1961,Fra Diamante,745,745,Fra Diamante,745,Fra Diamante
0000746-Berenson1961,Fra Diamante,746,746,Fra Diamante,746,Fra Diamante
0000747-Berenson1961,Fra Diamante,747,747,Fra Diamante,747,Fra Diamante
000747A-Berenson1961,Franciabigio,747 A,747 A,Franciabigio,71,Andrea Del Sarto
0000748-Berenson1961,Franciabigio,748,748,Franciabigio,748,Franciabigio
0000749-Berenson1961,Franciabigio,749,749,Franciabigio,749,Franciabigio
0000750-Berenson1961,Franciabigio,750,750,Franciabigio,750,Franciabigio
0000751-Berenson1961,Franciabigio,751,751,Franciabigio,751,Franciabigio
0000752-Berenson1961,Franciabigio,752,752,Franciabigio,752,Franciabigio
0000753-Berenson1961,Franciabigio,753,753,Franciabigio,753,Franciabigio
0000754-Berenson1961,Franciabigio,754,754,Franciabigio,754,Franciabigio
0000755-Berenson1961,Franciabigio,755,755,Franciabigio,755,Franciabigio
0000756-Berenson1961,Franciabigio,756,756,Franciabigio,756,Franciabigio
0000757-Berenson1961,Franciabigio,757,757,Franciabigio,757,Franciabigio
0000758-Berenson1961,"Gaddi, Taddeo",758,758,"Gaddi, Taddeo",758,"Gaddi, Taddeo"
0000759-Berenson1961,"Garbo, Raffaellino Del",759,759,"Garbo, Raffaellino Del",759,"Garbo, Raffaellino Del"
0000760-Berenson1961,"Garbo, Raffaellino Del",760,760,"Garbo, Raffaellino Del",760,"Garbo, Raffaellino Del"
0000761-Berenson1961,"Garbo, Raffaellino Del",761,761,"Garbo, Raffaellino Del",761,"Garbo, Raffaellino Del"
0000762-Berenson1961,"Garbo, Raffaellino Del",762,762,"Garbo, Raffaellino Del",762,"Garbo, Raffaellino Del"
0000763-Berenson1961,"Garbo, Raffaellino Del",763,763,"Garbo, Raffaellino Del",763,"Garbo, Raffaellino Del"
0000764-Berenson1961,"Garbo, Raffaellino Del",764,764,"Garbo, Raffaellino Del",764,"Garbo, Raffaellino Del"
0000765-Berenson1961,"Garbo, Raffaellino Del",765,765,"Garbo, Raffaellino Del",765,"Garbo, Raffaellino Del"
0000766-Berenson1961,"Garbo, Raffaellino Del",766,766,"Garbo, Raffaellino Del",766,"Garbo, Raffaellino Del"
0000767-Berenson1961,"Garbo, Raffaellino Del",767,767,"Garbo, Raffaellino Del",767,"Garbo, Raffaellino Del"
0000768-Berenson1961,"Garbo, Raffaellino Del",768,768,"Garbo, Raffaellino Del",768,"Garbo, Raffaellino Del"
0000769-Berenson1961,"Garbo, Raffaellino Del",769,769,"Garbo, Raffaellino Del",769,"Garbo, Raffaellino Del"
0000770-Berenson1961,"Garbo, Raffaellino Del",770,770,"Garbo, Raffaellino Del",770,"Garbo, Raffaellino Del"
0000771-Berenson1961,"Garbo, Raffaellino Del",771,771,"Garbo, Raffaellino Del",771,"Garbo, Raffaellino Del"
000771A-Berenson1961,"Garbo, Raffaellino Del",771 A,771 A,"Garbo, Raffaellino Del",656,Raffaellino Di Carli
0000772-Berenson1961,"Ghirlandaio, David",772,772,"Ghirlandaio, David",772,"Ghirlandaio, David"
000772F-Berenson1961,"Ghirlandaio, David",772 F,772 F,"Ghirlandaio, David",850,"Ghirlandaio, David"
0000773-Berenson1961,"Ghirlandaio, David",773,773,"Ghirlandaio, David",773,"Ghirlandaio, David"
0000774-Berenson1961,"Ghirlandaio, David",774,774,"Ghirlandaio, David",774,"Ghirlandaio, David"
0000775-Berenson1961,"Ghirlandaio, David",775,775,"Ghirlandaio, David",775,"Ghirlandaio, David"
0000776-Berenson1961,"Ghirlandaio, David",776,776,"Ghirlandaio, David",776,"Ghirlandaio, David"
0000777-Berenson1961,"Ghirlandaio, David",777,777,"Ghirlandaio, David",777,"Ghirlandaio, David"
0000778-Berenson1961,"Ghirlandaio, David",778,778,"Ghirlandaio, David",778,"Ghirlandaio, David"
0000779-Berenson1961,"Ghirlandaio, David",779,779,"Ghirlandaio, David",779,"Ghirlandaio, David"
0000780-Berenson1961,"Ghirlandaio, David",780,780,"Ghirlandaio, David",780,"Ghirlandaio, David"
0000781-Berenson1961,"Ghirlandaio, David",781,781,"Ghirlandaio, David",781,"Ghirlandaio, David"
0000782-Berenson1961,"Ghirlandaio, David",782,782,"Ghirlandaio, David",1375,Filippino
0000783-Berenson1961,"Ghirlandaio, David",783,783,"Ghirlandaio, David",783,"Ghirlandaio, David"
0000784-Berenson1961,"Ghirlandaio, David",784,784,"Ghirlandaio, David",784,"Ghirlandaio, David"
0000785-Berenson1961,"Ghirlandaio, David",785,785,"Ghirlandaio, David",785,"Ghirlandaio, David"
0000786-Berenson1961,"Ghirlandaio, David",786,786,"Ghirlandaio, David",786,"Ghirlandaio, David"
0000787-Berenson1961,"Ghirlandaio, David",787,787,"Ghirlandaio, David",787,"Ghirlandaio, David"
0000788-Berenson1961,"Ghirlandaio, David",788,788,"Ghirlandaio, David",788,"Ghirlandaio, David"
0000789-Berenson1961,"Ghirlandaio, David",789,789,"Ghirlandaio, David",789,"Ghirlandaio, David"
0000790-Berenson1961,"Ghirlandaio, David",790,790,"Ghirlandaio, David",790,"Ghirlandaio, David"
0000791-Berenson1961,"Ghirlandaio, David",791,791,"Ghirlandaio, David",791,"Ghirlandaio, David"
0000792-Berenson1961,"Ghirlandaio, David",792,792,"Ghirlandaio, David",792,"Ghirlandaio, David"
0000793-Berenson1961,"Ghirlandaio, David",793,793,"Ghirlandaio, David",793,"Ghirlandaio, David"
0000794-Berenson1961,"Ghirlandaio, David",794,794,"Ghirlandaio, David",794,"Ghirlandaio, David"
000794C-Berenson1961,"Ghirlandaio, David",794 C,794 C,"Ghirlandaio, David",1379,Filippino
0000795-Berenson1961,"Ghirlandaio, David",795,795,"Ghirlandaio, David",795,"Ghirlandaio, David"
0000796-Berenson1961,"Ghirlandaio, David",796,796,"Ghirlandaio, David",796,"Ghirlandaio, David"
0000797-Berenson1961,"Ghirlandaio, David",797,797,"Ghirlandaio, David",797,"Ghirlandaio, David"
0000798-Berenson1961,"Ghirlandaio, David",798,798,"Ghirlandaio, David",798,"Ghirlandaio, David"
0000799-Berenson1961,"Ghirlandaio, David",799,799,"Ghirlandaio, David",799,"Ghirlandaio, David"
0000800-Berenson1961,"Ghirlandaio, David",800,800,"Ghirlandaio, David",800,"Ghirlandaio, David"
0000801-Berenson1961,"Ghirlandaio, David",801,801,"Ghirlandaio, David",801,"Ghirlandaio, David"
0000802-Berenson1961,"Ghirlandaio, David",802,802,"Ghirlandaio, David",802,"Ghirlandaio, David"
0000803-Berenson1961,"Ghirlandaio, David",803,803,"Ghirlandaio, David",803,"Ghirlandaio, David"
0000804-Berenson1961,"Ghirlandaio, David",804,804,"Ghirlandaio, David",804,"Ghirlandaio, David"
0000805-Berenson1961,"Ghirlandaio, David",805,805,"Ghirlandaio, David",805,"Ghirlandaio, David"
0000806-Berenson1961,"Ghirlandaio, David",806,806,"Ghirlandaio, David",806,"Ghirlandaio, David"
0000807-Berenson1961,"Ghirlandaio, David",807,807,"Ghirlandaio, David",807,"Ghirlandaio, David"
0000808-Berenson1961,"Ghirlandaio, David",808,808,"Ghirlandaio, David",808,"Ghirlandaio, David"
0000810-Berenson1961,"Ghirlandaio, David",810,810,"Ghirlandaio, David",810,"Ghirlandaio, David"
0000811-Berenson1961,"Ghirlandaio, David",811,811,"Ghirlandaio, David",811,"Ghirlandaio, David"
0000812-Berenson1961,"Ghirlandaio, David",812,812,"Ghirlandaio, David",812,"Ghirlandaio, David"
0000813-Berenson1961,"Ghirlandaio, David",813,813,"Ghirlandaio, David",813,"Ghirlandaio, David"
0000814-Berenson1961,"Ghirlandaio, David",814,814,"Ghirlandaio, David",814,"Ghirlandaio, David"
0000815-Berenson1961,"Ghirlandaio, David",815,815,"Ghirlandaio, David",815,"Ghirlandaio, David"
0000816-Berenson1961,"Ghirlandaio, David",816,816,"Ghirlandaio, David",816,"Ghirlandaio, David"
0000817-Berenson1961,"Ghirlandaio, David",817,817,"Ghirlandaio, David",817,"Ghirlandaio, David"
0000818-Berenson1961,"Ghirlandaio, David",818,818,"Ghirlandaio, David",818,"Ghirlandaio, David"
0000819-Berenson1961,"Ghirlandaio, David",819,819,"Ghirlandaio, David",819,"Ghirlandaio, David"
0000820-Berenson1961,"Ghirlandaio, David",820,820,"Ghirlandaio, David",820,"Ghirlandaio, David"
0000821-Berenson1961,"Ghirlandaio, David",821,821,"Ghirlandaio, David",821,"Ghirlandaio, David"
0000822-Berenson1961,"Ghirlandaio, David",822,822,"Ghirlandaio, David",822,"Ghirlandaio, David"
0000823-Berenson1961,"Ghirlandaio, David",823,823,"Ghirlandaio, David",823,"Ghirlandaio, David"
0000824-Berenson1961,"Ghirlandaio, David",824,824,"Ghirlandaio, David",824,"Ghirlandaio, David"
0000825-Berenson1961,"Ghirlandaio, David",825,825,"Ghirlandaio, David",825,"Ghirlandaio, David"
0000826-Berenson1961,"Ghirlandaio, David",826,826,"Ghirlandaio, David",826,"Ghirlandaio, David"
0000828-Berenson1961,"Ghirlandaio, David",828,828,"Ghirlandaio, David",828,"Ghirlandaio, David"
0000829-Berenson1961,"Ghirlandaio, David",829,829,"Ghirlandaio, David",829,"Ghirlandaio, David"
0000830-Berenson1961,"Ghirlandaio, David",830,830,"Ghirlandaio, David",830,"Ghirlandaio, David"
0000832-Berenson1961,"Ghirlandaio, David",832,831,"Ghirlandaio, David",831,"Ghirlandaio, David"
0000833-Berenson1961,"Ghirlandaio, David",833,833,"Ghirlandaio, David",833,"Ghirlandaio, David"
0000834-Berenson1961,"Ghirlandaio, David",834,834,"Ghirlandaio, David",834,"Ghirlandaio, David"
000834A-Berenson1961,"Ghirlandaio, David",834 A,834 A,"Ghirlandaio, David",894,Ghirlandajo
000834B-Berenson1961,"Ghirlandaio, David",834 B,834 B,"Ghirlandaio, David",896,Ghirlandajo
000834C-Berenson1961,"Ghirlandaio, David",834 C,834 C,"Ghirlandaio, David",827,"Ghirlandaio, David"
0000835-Berenson1961,"Ghirlandaio, David",835,835,"Ghirlandaio, David",835,"Ghirlandaio, David"
0000836-Berenson1961,"Ghirlandaio, David",836,836,"Ghirlandaio, David",836,"Ghirlandaio, David"
0000837-Berenson1961,"Ghirlandaio, David",837,837,"Ghirlandaio, David",837,"Ghirlandaio, David"
0000838-Berenson1961,"Ghirlandaio, David",838,838,"Ghirlandaio, David",838,"Ghirlandaio, David"
0000839-Berenson1961,"Ghirlandaio, David",839,839,"Ghirlandaio, David",839,"Ghirlandaio, David"
0000840-Berenson1961,"Ghirlandaio, David",840,840,"Ghirlandaio, David",840,"Ghirlandaio, David"
0000841-Berenson1961,"Ghirlandaio, David",841,841,"Ghirlandaio, David",841,"Ghirlandaio, David"
0000842-Berenson1961,"Ghirlandaio, David",842,842,"Ghirlandaio, David",842,"Ghirlandaio, David"
0000843-Berenson1961,"Ghirlandaio, David",843,843,"Ghirlandaio, David",843,"Ghirlandaio, David"
0000844-Berenson1961,"Ghirlandaio, David",844,844,"Ghirlandaio, David",844,"Ghirlandaio, David"
0000845-Berenson1961,"Ghirlandaio, David",845,845,"Ghirlandaio, David",845,"Ghirlandaio, David"
0000846-Berenson1961,"Ghirlandaio, David",846,846,"Ghirlandaio, David",846,"Ghirlandaio, David"
0000847-Berenson1961,"Ghirlandaio, David",847,847,"Ghirlandaio, David",847,"Ghirlandaio, David"
0000848-Berenson1961,"Ghirlandaio, David",848,848,"Ghirlandaio, David",848,"Ghirlandaio, David"
0000849-Berenson1961,"Ghirlandaio, David",849,849,"Ghirlandaio, David",40,Alunno Di Domenico
0000853-Berenson1961,"Ghirlandaio, David",853,853,"Ghirlandaio, David",853,"Ghirlandaio, David"
0000854-Berenson1961,"Ghirlandaio, David",854,854,"Ghirlandaio, David",854,"Ghirlandaio, David"
0000855-Berenson1961,"Ghirlandaio, David",855,855,"Ghirlandaio, David",855,"Ghirlandaio, David"
0000856-Berenson1961,"Ghirlandaio, David",856,856,"Ghirlandaio, David",856,"Ghirlandaio, David"
0000857-Berenson1961,"Ghirlandaio, David",857,857,"Ghirlandaio, David",857,"Ghirlandaio, David"
0000858-Berenson1961,"Ghirlandaio, David",858,858,"Ghirlandaio, David",858,"Ghirlandaio, David"
0000859-Berenson1961,"Ghirlandaio, David",859,859,"Ghirlandaio, David",859,"Ghirlandaio, David"
000859D-Berenson1961,"Ghirlandaio, David",859 D,859 D,"Ghirlandaio, David",998,Francesco Granacci
000859E-Berenson1961,"Ghirlandaio, David",859 E,859 E,"Ghirlandaio, David",859 E,"Ghirlandaio, David"
000859F-Berenson1961,"Ghirlandaio, David",859 F,859 F,"Ghirlandaio, David",859 F,"Ghirlandaio, David"
000859K-Berenson1961,"Ghirlandaio, David",859 K,859 k,"Ghirlandaio, David",1364,Filippino Lippi
000859P-Berenson1961,"Ghirlandaio, David",859 P,859 P,"Ghirlandaio, David",859 G,"Ghirlandaio, David"
000859Q-Berenson1961,"Ghirlandaio, David",859 Q,859 Q,"Ghirlandaio, David",859 H,"Ghirlandaio, David"
0000860-Berenson1961,"Ghirlandaio, David",860,860,"Ghirlandaio, David",860,"Ghirlandaio, David"
0000861-Berenson1961,"Ghirlandaio, David",861,861,"Ghirlandaio, David",861,"Ghirlandaio, David"
